shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
20096,38.6600972519943,-9.1569623911389,8,
20096,38.6561048644954,-9.15428884955021,9,
20096,38.6541350566212,-9.15176230187358,10,
20096,38.6536942223893,-9.14904787357934,11,
20096,38.653779393923,-9.14733867628464,12,
20096,38.6534142756888,-9.14620619997306,13,
20096,38.650978868582,-9.14361595720469,14,
20096,38.6500391630183,-9.1448818456877,15,
20096,38.648868962816,-9.14676734662577,16,
20096,38.6489285227229,-9.14928944351932,17,
20096,38.6482143379936,-9.15068858206388,18,
20096,38.6464742040742,-9.1491185148072,19,
20096,38.6446878035477,-9.14666347744751,20,
20097,38.62044,-9.0904,1,
20097,38.6224737630549,-9.08779954711291,2,
20097,38.6246701457442,-9.08525455649439,3,
20097,38.6246894542834,-9.08443418898733,4,
20097,38.6233852597936,-9.08222027215423,5,
20097,38.620560113928,-9.08264627055965,6,
20097,38.6169945031828,-9.08467115340106,7,
20097,38.6149535811179,-9.08632956149493,8,
20097,38.6119414719583,-9.09038677778343,9,
20097,38.6106924277789,-9.09343867458285,10,
20097,38.6130476787532,-9.09439735778109,11,
20097,38.6158230253007,-9.09641274735745,12,
20097,38.618063747487,-9.09890309111702,13,
20097,38.6175321492742,-9.10079890296834,14,
20097,38.6178515412116,-9.10217844407648,15,
20097,38.6185580669046,-9.10493715813009,16,
20097,38.6175278686575,-9.10566177114748,17,
20097,38.6158256245435,-9.10843981788939,18,
20097,38.616687746286,-9.11102992780339,19,
20097,38.619073860265,-9.11120875054456,20,
20097,38.620858389891,-9.11068767430279,21,
20097,38.6221519245292,-9.11209865859222,22,
20097,38.6249522313136,-9.11439982528276,23,
20097,38.6269906377843,-9.11534360191326,24,
20097,38.6278191842044,-9.11372490293704,25,
20097,38.6288362282685,-9.11283141035949,26,
20097,38.6305980293037,-9.11479342560342,27,
20097,38.632393795971,-9.11790318934231,28,
20097,38.6294396529435,-9.11769986355784,29,
20097,38.6268961928662,-9.1185931337923,30,
20097,38.6242525020626,-9.12190056247625,31,
20097,38.6236176241624,-9.12448425017034,32,
20097,38.6241538546028,-9.12644716414296,33,
20097,38.6258324820703,-9.12917965159108,34,
20097,38.6290800777409,-9.1335951091346,35,
20097,38.6311280501345,-9.13741083062386,36,
20097,38.632209623244,-9.13944491942513,37,
20097,38.6344115492761,-9.14357031053673,38,
20097,38.639499454121,-9.14952922843716,39,
20097,38.6415243705068,-9.15103404023764,40,
20097,38.6439899645249,-9.15241430144208,41,
20097,38.6510992336996,-9.15307931910264,42,
20097,38.6564798595273,-9.15442575066899,43,
20097,38.6585515497082,-9.15586244051329,44,
20097,38.6601418024742,-9.1569922508298,45,
20097,38.6641768527488,-9.15976643919725,46,
20097,38.6677616669689,-9.15942294945995,47,
20097,38.6707456304129,-9.15745397342904,48,
20097,38.6728977965932,-9.15500915195849,49,
20097,38.6740892934059,-9.15353965165423,50,
20097,38.6768420831358,-9.15143733393028,51,
20097,38.6801253751003,-9.14960713258376,52,
20097,38.6841472467294,-9.14717027488268,53,
20097,38.6876918521848,-9.14782497446918,54,
20098,38.6876918521848,-9.14782497446918,1,
20098,38.6843493877169,-9.14723304047087,2,
20098,38.6798589075857,-9.14975241688691,3,
20098,38.6768338499895,-9.15144221969221,4,
20098,38.6734473524463,-9.15430880690584,5,
20098,38.6682017201069,-9.1593888395983,6,
20098,38.6639086977864,-9.15962144403406,7,
20098,38.6600972519943,-9.1569623911389,8,
20098,38.6561048644954,-9.15428884955021,9,
20098,38.650909614879,-9.15302731757787,10,
20098,38.6437958630624,-9.15236189700069,11,
