4920 | 38.7377 | -9.15936 | 9 |  | PRAÇA DE ESPANHA | 
4920 | 38.7412 | -9.16836 | 10 |  | JARDIM ZOOLÓGICO | 
4920 | 38.74849 | -9.17252 | 11 |  | LARANJEIRAS | 
4920 | 38.74993 | -9.18007 | 12 |  | ALTO DOS MOINHOS | 
4920 | 38.75372 | -9.18987 | 13 |  | COLÉGIO MILITAR | 
4920 | 38.75901 | -9.19276 | 14 |  | CARNIDE | 
4920 | 38.76223 | -9.19697 | 15 |  | PONTINHA | 
4921 | 38.72011 | -9.15486 | 1 |  | RATO | 
4921 | 38.72593 | -9.14965 | 2 |  | MARQUÊS DE POMBAL | 
4921 | 38.73024 | -9.14703 | 3 |  | PICOAS | 
4921 | 38.73483 | -9.14528 | 4 |  | SALDANHA | 
4921 | 38.74079 | -9.14673 | 5 |  | CAMPO PEQUENO | 
4921 | 38.74698 | -9.14823 | 6 |  | ENTRE CAMPOS | 
4921 | 38.75144 | -9.15915 | 7 |  | CIDADE UNIVERSITÁRIA | 
4921 | 38.76016 | -9.15788 | 8 |  | CAMPO GRANDE | 
4922 | 38.76016 | -9.15788 | 1 |  | CAMPO GRANDE | 
4922 | 38.75144 | -9.15915 | 2 |  | CIDADE UNIVERSITÁRIA | 
4922 | 38.74698 | -9.14823 | 3 |  | ENTRE CAMPOS | 
4922 | 38.74079 | -9.14673 | 4 |  | CAMPO PEQUENO | 
4922 | 38.73483 | -9.14528 | 5 |  | SALDANHA | 
4922 | 38.73024 | -9.14703 | 6 |  | PICOAS | 
4922 | 38.72593 | -9.14965 | 7 |  | MARQUÊS DE POMBAL | 
4922 | 38.72011 | -9.15486 | 8 |  | RATO | 
50953 | 38.76017 | -9.16609 | 1 |  | TELHEIRAS | 
50953 | 38.76016 | -9.15788 | 2 |  | CAMPO GRANDE | 
50953 | 38.75327 | -9.1441 | 3 |  | ALVALADE | 
50953 | 38.74808 | -9.1413 | 4 |  | ROMA | 
50953 | 38.74228 | -9.13349 | 5 |  | AREEIRO | 
50953 | 38.73696 | -9.13389 | 6 |  | ALAMEDA | 
50953 | 38.72703 | -9.13488 | 7 |  | ANJOS | 
50953 | 38.72326 | -9.13526 | 8 |  | INTENDENTE | 
50953 | 38.71762 | -9.1358 | 9 |  | MARTIM MONIZ | 
50953 | 38.71402 | -9.13796 | 10 |  | ROSSIO | 
50953 | 38.71041 | -9.14018 | 11 |  | BAIXA CHIADO | 
50953 | 38.70611 | -9.14612 | 12 |  | CAIS DO SODRÉ | 
50954 | 38.70611 | -9.14612 | 1 |  | CAIS DO SODRÉ | 
50954 | 38.71041 | -9.14018 | 2 |  | BAIXA CHIADO | 
50954 | 38.71402 | -9.13796 | 3 |  | ROSSIO | 
50954 | 38.71762 | -9.1358 | 4 |  | MARTIM MONIZ | 
50954 | 38.72326 | -9.13526 | 5 |  | INTENDENTE | 
50954 | 38.72703 | -9.13488 | 6 |  | ANJOS | 
50954 | 38.73696 | -9.13389 | 7 |  | ALAMEDA | 
50954 | 38.74228 | -9.13349 | 8 |  | AREEIRO | 
50954 | 38.74808 | -9.1413 | 9 |  | ROMA | 
50954 | 38.75327 | -9.1441 | 10 |  | ALVALADE | 
50954 | 38.76016 | -9.15788 | 11 |  | CAMPO GRANDE | 
50954 | 38.76017 | -9.16609 | 12 |  | TELHEIRAS | 
