shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4087,38.7785717471038,-9.16423461780688,22,
4087,38.7726402404832,-9.16113899842206,23,
4087,38.7658886919852,-9.15739617112244,24,
4087,38.7611049866924,-9.15779012723709,25,
4088,38.7611049866924,-9.15779012723709,1,
4088,38.7663227814887,-9.15758144274287,2,
4088,38.7729187659192,-9.16129666297779,3,
4088,38.7793375013028,-9.16328313888706,4,
4088,38.7835889123355,-9.1634856277945,5,
4088,38.789514573207,-9.1683470749837,6,
4088,38.7868881625616,-9.17047522799726,7,
4088,38.790253122776,-9.17586593235568,8,
4088,38.790802106003,-9.17697449068485,9,
4088,38.7905862428214,-9.18078600795716,10,
4088,38.7926200493208,-9.18285044567604,11,
4088,38.7970746354457,-9.18561185448075,12,
4088,38.7990958430114,-9.18700543185616,13,
4088,38.8029033265655,-9.1903935478648,14,
4088,38.8027889051902,-9.19348213231979,15,
4088,38.804884374067,-9.19637999395453,16,
4088,38.806361070582,-9.20025118079195,17,
4088,38.8082334231556,-9.20346735919132,18,
4088,38.810314979431,-9.20524374985987,19,
4088,38.8136084656433,-9.21262619145351,20,
4088,38.8141068993243,-9.21454179683064,21,
4088,38.8150997999292,-9.21845853373101,22,
4088,38.8141840359851,-9.2211301590097,23,
4088,38.8129600374729,-9.22622850259747,24,
4088,38.8125662909491,-9.22752328477876,25,
4088,38.8110345404419,-9.23131220237766,26,
4088,38.80972887569,-9.23324357522753,27,
4090,38.7852981275749,-9.17168484787618,1,
4090,38.7868881625616,-9.17047522799726,2,
4090,38.790253122776,-9.17586593235568,3,
4090,38.7921422314574,-9.1771882264296,4,
4090,38.7943479344027,-9.17943305862239,5,
4090,38.7951282408491,-9.18195430068488,6,
4090,38.7970746354457,-9.18561185448075,7,
4090,38.7990958430114,-9.18700543185616,8,
4090,38.8029033265655,-9.1903935478648,9,
4090,38.8027889051902,-9.19348213231979,10,
4090,38.804884374067,-9.19637999395453,11,
4090,38.806361070582,-9.20025118079195,12,
4090,38.8082334231556,-9.20346735919132,13,
4090,38.8098804388391,-9.2043841604158,14,
4090,38.813287144477,-9.20357581056281,15,
4090,38.8142017736006,-9.20249525200839,16,
4090,38.8184050222607,-9.20275370508648,17,
4090,38.8162838199326,-9.20059257117131,18,
4090,38.815539126111,-9.19987681570178,19,
4091,38.815539126111,-9.19987681570178,1,
4091,38.8164092615557,-9.20069003280283,2,
4091,38.8185804747353,-9.20301663364858,3,
4091,38.8147377368165,-9.20236883963827,4,
4091,38.8136464715723,-9.20334724285524,5,
4091,38.8100264700866,-9.20439413965829,6,
4091,38.8085757012125,-9.20367881672722,7,
4091,38.8064019183578,-9.20045523599124,8,
4091,38.8047112244647,-9.19605694331181,9,
4091,38.8027754600669,-9.19397909867793,10,
4091,38.8028902467136,-9.19076049360178,11,
4091,38.8028094512368,-9.18948855815672,12,
4091,38.8024414099698,-9.1883400546932,13,
4091,38.8013291141013,-9.18690310403374,14,
4091,38.7994945123445,-9.1869716854768,15,
4091,38.797612209115,-9.18615421445638,16,
4091,38.7951912897101,-9.18307218379997,17,
4091,38.7944361911192,-9.1796581476856,18,
4091,38.7928966026298,-9.17746866409355,19,
4091,38.7896948666868,-9.17527654557822,20,
4091,38.785842851186,-9.17218120444374,21,
4094,38.7531722275,-9.19009599799854,1,
4094,38.7605698770089,-9.19479973083639,2,
4094,38.7614080112932,-9.19746751152553,3,
4094,38.7652001396761,-9.19827927610764,4,
4094,38.7675398996719,-9.19853120640244,5,
4094,38.7711283833253,-9.20058039206978,6,
4094,38.7767217452534,-9.20578965722876,7,
4094,38.7783120961385,-9.20611097554888,8,
4094,38.7805501982611,-9.20803826321761,9,
4094,38.783980663786,-9.20710596316418,10,
4094,38.7880814264562,-9.20929972159738,11,
4094,38.7898969833685,-9.20981658696958,12,
4094,38.7896624966015,-9.21162458427396,13,
4094,38.7916363709116,-9.2139229279045,14,
