stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
61_2061,,Alverca (Esc Secundária),,38.891174872902,-9.03576545078824,,,,
61_1240,,Alverca (Est Serviço),,38.888573442099,-9.04070592840134,,,,
61_721,,Alverca (Est Serviço),,38.8884184601856,-9.04057972662002,,,,
61_736,,Alverca (Estação CP),,38.8904834012275,-9.03423018437131,,,,
61_719,,Alverca (Estação CP),,38.8904327707788,-9.03414245399533,,,,
61_720,,Alverca (Estação CP),,38.8904410915571,-9.0343606729395,,,,
61_2060,,Alverca (Estação CP),,38.8902326650563,-9.03450406883107,,,,
61_2111,,Alverca (Estr Arcena) PSP,,38.9020179673438,-9.0409581467217,,,,
61_709,,Alverca (Estr Arcena 3),,38.902094649445,-9.04010471653849,,,,
61_716,,Alverca (Jardim),,38.8960771466243,-9.03905160689824,,,,
61_722,,Alverca (Lar 3ª Idade),,38.899744608381,-9.03725823849272,,,,
61_717,,Alverca (Pç Cova Bicho),,38.8947872955795,-9.04028250363416,,,,
61_725,,Alverca (Qta Moinho Ferro),,38.9025042865202,-9.0425247777619,,,,
61_731,,Alverca (R António Sérgio) Fte Piscinas,,38.8970648415432,-9.04054100964696,,,,
61_1962,,Alverca (R António Sérgio) Piscinas,,38.8969843167617,-9.04060042091798,,,,
61_891,,Alverca (R António Sérgio 10),,38.8934422431679,-9.04542118855357,,,,
61_767,,Alverca (R António Sérgio 10),,38.892951278294,-9.04593591402518,,,,
61_890,,Alverca (R António Sérgio 107),,38.8949328533214,-9.04362161586595,,,,
61_893,,Alverca (R António Sérgio 134),,38.8946925621708,-9.04391074107019,,,,
61_627,,Alverca (R Aviação 6),,38.8931788814121,-9.03842176661836,,,,
61_729,,Alverca (R Boca Lara),,38.8967810216138,-9.03902517701031,,,,
61_728,,Alverca (R Boca Lara),,38.8970440804501,-9.0393096800708,,,,
61_730,,Alverca (R Brig Alberto Fernandes 35),,38.8943446187539,-9.03828225053572,,,,
61_706,,Alverca (R Brig Fernando Alb Oliveira 24),,38.8948458074764,-9.03875372577994,,,,
61_708,,Alverca (R Brig Fernando Alb Oliveira 42),,38.8931954480587,-9.0404045374511,,,,
